sample_name,type
P15_all_unstimulated,train
P01_all_unstimulated,train
N08_all_unstimulated,train
N03_all_unstimulated,train
P07_all_unstimulated,train
P06_all_unstimulated,train
P08_all_unstimulated,train
P11_all_unstimulated,train
N07_all_unstimulated,train
N05_all_unstimulated,train
P12_all_unstimulated,train
N04_all_unstimulated,train
P10_all_unstimulated,train
N09_all_unstimulated,train
P16_all_unstimulated,train
N01_all_unstimulated,train
P09_all_unstimulated,train
P02_all_unstimulated,train
P14_all_unstimulated,train
P13_all_unstimulated,train
P05_all_unstimulated,test
P03_all_unstimulated,test
N06_all_unstimulated,test
P04_all_unstimulated,test
N02_all_unstimulated,test
